run_name,model,seed,class_idx,class_name,precision,recall,map50,map50_95
p1bfc_yolov8n_640_s1_e30p10m30,yolov8n.pt,1,0,B1,0.6387009382995845,0.8504983388704319,0.7971284738934438,0.41632608173239677
p1bfc_yolov8n_640_s1_e30p10m30,yolov8n.pt,1,1,B2,0.39080146104424696,0.511437908496732,0.3816837537763006,0.185692113396219
p1bfc_yolov8n_640_s1_e30p10m30,yolov8n.pt,1,2,B3,0.4621535227135092,0.6937073540561031,0.5416546993042965,0.2503117236068163
p1bfc_yolov8n_640_s1_e30p10m30,yolov8n.pt,1,3,B4,0.4394238885723973,0.3231046931407942,0.339584605977971,0.1342911110162123
p1bfc_yolov8n_640_s2_e30p10m30,yolov8n.pt,2,0,B1,0.6307304206112043,0.8272425249169435,0.7925091247405258,0.412913461388698
p1bfc_yolov8n_640_s2_e30p10m30,yolov8n.pt,2,1,B2,0.3906499426109027,0.5163398692810458,0.3915977145533635,0.19325489674986104
p1bfc_yolov8n_640_s2_e30p10m30,yolov8n.pt,2,2,B3,0.5101864139732954,0.6814972195852987,0.5607198851281548,0.2528545308545628
p1bfc_yolov8n_640_s2_e30p10m30,yolov8n.pt,2,3,B4,0.42809341490728586,0.3664259927797834,0.3342558540216329,0.12931195918937438
p1bfc_yolov8s_640_s1_e30p10m30,yolov8s.pt,1,0,B1,0.6762393771876591,0.8039867109634552,0.8033550544512624,0.425381201179699
p1bfc_yolov8s_640_s1_e30p10m30,yolov8s.pt,1,1,B2,0.43568035841733166,0.44281045751633985,0.3966379421762626,0.19283469643227716
p1bfc_yolov8s_640_s1_e30p10m30,yolov8s.pt,1,2,B3,0.48889014672773073,0.6802289627362983,0.547791063100284,0.2486816677898865
p1bfc_yolov8s_640_s1_e30p10m30,yolov8s.pt,1,3,B4,0.40923677424126387,0.4368231046931408,0.354703222673215,0.1403500091337077
p1bfc_yolov8s_640_s2_e30p10m30,yolov8s.pt,2,0,B1,0.6570288738389443,0.8471760797342193,0.8088466801174633,0.42772191017264494
p1bfc_yolov8s_640_s2_e30p10m30,yolov8s.pt,2,1,B2,0.4121830351611969,0.42483660130718953,0.3901272422541273,0.19001816813679445
p1bfc_yolov8s_640_s2_e30p10m30,yolov8s.pt,2,2,B3,0.4923438764458836,0.6889596015793648,0.5544304094413792,0.2544266813271529
p1bfc_yolov8s_640_s2_e30p10m30,yolov8s.pt,2,3,B4,0.4502506865287935,0.3844765342960289,0.3489366050858512,0.13750416347295794
p1bfc_yolov8m_640_s1_e30p10m30,yolov8m.pt,1,0,B1,0.6586778635420409,0.8006644518272426,0.8104685013506326,0.42639203010754845
p1bfc_yolov8m_640_s1_e30p10m30,yolov8m.pt,1,1,B2,0.4565032546875994,0.43300653594771243,0.38821870226637084,0.1955907609008168
p1bfc_yolov8m_640_s1_e30p10m30,yolov8m.pt,1,2,B3,0.5208602484890829,0.6603487490523123,0.5556449362813216,0.25369972685745357
p1bfc_yolov8m_640_s1_e30p10m30,yolov8m.pt,1,3,B4,0.3830659188078483,0.4303848052682859,0.3571653124115805,0.13553735202148257
p1bfc_yolov8m_640_s2_e30p10m30,yolov8m.pt,2,0,B1,0.6827843666302074,0.8372093023255814,0.8013785085827002,0.4321639477057361
p1bfc_yolov8m_640_s2_e30p10m30,yolov8m.pt,2,1,B2,0.40422577355402634,0.5294117647058824,0.3917199321143779,0.1950769318799938
p1bfc_yolov8m_640_s2_e30p10m30,yolov8m.pt,2,2,B3,0.5075914662047337,0.6739954510993177,0.5524618385122271,0.25276418690987934
p1bfc_yolov8m_640_s2_e30p10m30,yolov8m.pt,2,3,B4,0.41977321252160177,0.3460621163667436,0.3461893894849912,0.13311419676756522
p1bfc_yolov9c_640_s1_e30p10m30,yolov9c.pt,1,0,B1,0.6791597596340065,0.8106312292358804,0.8137150300466723,0.42369707089305714
p1bfc_yolov9c_640_s1_e30p10m30,yolov9c.pt,1,1,B2,0.4520451370100443,0.4624183006535948,0.3934001417004654,0.19394915365478868
p1bfc_yolov9c_640_s1_e30p10m30,yolov9c.pt,1,2,B3,0.4802529085047638,0.7271609005270959,0.562289252056338,0.2551373968920921
p1bfc_yolov9c_640_s1_e30p10m30,yolov9c.pt,1,3,B4,0.406951047655213,0.3700361010830325,0.34517957906497704,0.13782173362351252
p1bfc_yolov9c_640_s2_e30p10m30,yolov9c.pt,2,0,B1,0.6041756672529719,0.8637873754152824,0.8041576004750574,0.4141087501058841
p1bfc_yolov9c_640_s2_e30p10m30,yolov9c.pt,2,1,B2,0.43545458921343594,0.43137254901960786,0.38811773299821717,0.19802515991765646
p1bfc_yolov9c_640_s2_e30p10m30,yolov9c.pt,2,2,B3,0.49693201378562757,0.6882418136322317,0.5642729143624327,0.2539405316085892
p1bfc_yolov9c_640_s2_e30p10m30,yolov9c.pt,2,3,B4,0.45642971920439757,0.33393501805054154,0.36263119347156136,0.1381152696032249
p1bfc_yolov10n_640_s1_e30p10m30,yolov10n.pt,1,0,B1,0.5636992822328407,0.8006644518272426,0.7481551575171905,0.4053287023918323
p1bfc_yolov10n_640_s1_e30p10m30,yolov10n.pt,1,1,B2,0.37192605435923853,0.4477124183006536,0.3386606252424217,0.17448979704886725
p1bfc_yolov10n_640_s1_e30p10m30,yolov10n.pt,1,2,B3,0.5017480893638435,0.5664948007899443,0.521789250318085,0.23267278818571097
p1bfc_yolov10n_640_s1_e30p10m30,yolov10n.pt,1,3,B4,0.3712264109848643,0.3111852185481327,0.26967738163472144,0.10867353000771737
p1bfc_yolov10n_640_s2_e30p10m30,yolov10n.pt,2,0,B1,0.6328751070461581,0.7973421926910299,0.790367747131487,0.4151784410159044
p1bfc_yolov10n_640_s2_e30p10m30,yolov10n.pt,2,1,B2,0.39908476318233876,0.4493464052287582,0.36456137522719473,0.18319665140616487
p1bfc_yolov10n_640_s2_e30p10m30,yolov10n.pt,2,2,B3,0.45649313541817205,0.6393198498084147,0.52635209375136,0.24470788505368693
p1bfc_yolov10n_640_s2_e30p10m30,yolov10n.pt,2,3,B4,0.41530716243320914,0.2666839002040142,0.27217794593130934,0.10997312807715527
p1bfc_yolov10s_640_s1_e30p10m30,yolov10s.pt,1,0,B1,0.6060245662986458,0.7873754152823921,0.7376823929318415,0.39849541285347934
p1bfc_yolov10s_640_s1_e30p10m30,yolov10s.pt,1,1,B2,0.40371799669819,0.46568627450980393,0.3674023125964249,0.17864232194537893
p1bfc_yolov10s_640_s1_e30p10m30,yolov10s.pt,1,2,B3,0.49109867113151545,0.6239575435936315,0.5366450458129771,0.24163678675320707
p1bfc_yolov10s_640_s1_e30p10m30,yolov10s.pt,1,3,B4,0.382843525559808,0.34115523465703973,0.31507345954660515,0.12325229167977285
p1bfc_yolov10s_640_s2_e30p10m30,yolov10s.pt,2,0,B1,0.543543169507177,0.8172757475083057,0.7563522255947398,0.40989572367295646
p1bfc_yolov10s_640_s2_e30p10m30,yolov10s.pt,2,1,B2,0.37590517411314917,0.4918300653594771,0.37268681401810944,0.18792352043386365
p1bfc_yolov10s_640_s2_e30p10m30,yolov10s.pt,2,2,B3,0.49340281637005556,0.6050037907505686,0.5261271428342439,0.2413010751044687
p1bfc_yolov10s_640_s2_e30p10m30,yolov10s.pt,2,3,B4,0.39304574029855466,0.36820355803876015,0.3268644728495895,0.12690996597121584
p1bfc_yolov10m_640_s1_e30p10m30,yolov10m.pt,1,0,B1,0.7262869300166922,0.714054990732848,0.7746394497321435,0.41636362091445667
p1bfc_yolov10m_640_s1_e30p10m30,yolov10m.pt,1,1,B2,0.40165352256109965,0.477124183006536,0.36942936961932554,0.18677056375586443
p1bfc_yolov10m_640_s1_e30p10m30,yolov10m.pt,1,2,B3,0.4984481357830466,0.65098823599977,0.5284233995850979,0.24047747195772512
p1bfc_yolov10m_640_s1_e30p10m30,yolov10m.pt,1,3,B4,0.39180053630208145,0.34657039711191334,0.31698446628829746,0.12580759685083326
p1bfc_yolov10m_640_s2_e30p10m30,yolov10m.pt,2,0,B1,0.663551887632925,0.7862717747243555,0.7852408017657101,0.40871535935499315
p1bfc_yolov10m_640_s2_e30p10m30,yolov10m.pt,2,1,B2,0.41411839227323766,0.43790849673202614,0.3804226129282103,0.18991085630447022
p1bfc_yolov10m_640_s2_e30p10m30,yolov10m.pt,2,2,B3,0.5002036567716078,0.6722685116847016,0.5411323910098506,0.24221393926058302
p1bfc_yolov10m_640_s2_e30p10m30,yolov10m.pt,2,3,B4,0.43604499735210406,0.37725631768953066,0.3433735538011878,0.13091922882911192
p1bfc_yolo26n_640_s1_e30p10m30,yolo26n.pt,1,0,B1,0.6286299027538573,0.7807308970099668,0.7581089154777383,0.40639154065837524
p1bfc_yolo26n_640_s1_e30p10m30,yolo26n.pt,1,1,B2,0.38989087758416646,0.39052287581699346,0.34935605817982107,0.17322207320387048
p1bfc_yolo26n_640_s1_e30p10m30,yolo26n.pt,1,2,B3,0.4703166981128839,0.6459438968915845,0.5143267970629324,0.2350611694208972
p1bfc_yolo26n_640_s1_e30p10m30,yolo26n.pt,1,3,B4,0.38729550595367057,0.3592057761732852,0.3030856215974752,0.11806499897481237
p1bfc_yolo26n_640_s2_e30p10m30,yolo26n.pt,2,0,B1,0.6364091813183463,0.8073089700996677,0.776658989359743,0.40477038268749554
p1bfc_yolo26n_640_s2_e30p10m30,yolo26n.pt,2,1,B2,0.3839815233720561,0.45588235294117646,0.377212374269021,0.18421120077611644
p1bfc_yolo26n_640_s2_e30p10m30,yolo26n.pt,2,2,B3,0.47004094527906976,0.6731048091813596,0.5361673971540899,0.23978148777796632
p1bfc_yolo26n_640_s2_e30p10m30,yolo26n.pt,2,3,B4,0.37447579202787223,0.32202334172166097,0.299768356885793,0.11409165656895556
p1bfc_yolo26s_640_s1_e30p10m30,yolo26s.pt,1,0,B1,0.5246640276969725,0.8870431893687708,0.8048033056961833,0.42184231167010927
p1bfc_yolo26s_640_s1_e30p10m30,yolo26s.pt,1,1,B2,0.40746117698341994,0.42135637742605253,0.36924469409802224,0.18429371292798016
p1bfc_yolo26s_640_s1_e30p10m30,yolo26s.pt,1,2,B3,0.4434599557895504,0.6935138320743086,0.549122123096988,0.2496132755019808
p1bfc_yolo26s_640_s1_e30p10m30,yolo26s.pt,1,3,B4,0.4330463960179832,0.22202166064981949,0.3126101547297987,0.12533422449218962
p1bfc_yolo26s_640_s2_e30p10m30,yolo26s.pt,2,0,B1,0.5225031544174846,0.840531561461794,0.7506900965179768,0.38892918336830545
p1bfc_yolo26s_640_s2_e30p10m30,yolo26s.pt,2,1,B2,0.4168519644570888,0.40522875816993464,0.3826846670889735,0.1895084419612338
p1bfc_yolo26s_640_s2_e30p10m30,yolo26s.pt,2,2,B3,0.46466252279445713,0.6846095526914329,0.5322478715372908,0.2349605669679451
p1bfc_yolo26s_640_s2_e30p10m30,yolo26s.pt,2,3,B4,0.38499589065531653,0.3664259927797834,0.3262402723025293,0.12291145284926148
p1bfc_yolo26m_640_s1_e30p10m30,yolo26m.pt,1,0,B1,0.6460907037414658,0.8106312292358804,0.7857923502981105,0.423131672404694
p1bfc_yolo26m_640_s1_e30p10m30,yolo26m.pt,1,1,B2,0.4093259706273242,0.5695585105552393,0.41492049614026755,0.20460194893370126
p1bfc_yolo26m_640_s1_e30p10m30,yolo26m.pt,1,2,B3,0.47418716755669493,0.6536296518015359,0.5376268905163767,0.24519607235372712
p1bfc_yolo26m_640_s1_e30p10m30,yolo26m.pt,1,3,B4,0.42952609618587034,0.3329748689560709,0.3461495205797018,0.13361867595731394
p1bfc_yolo26m_640_s2_e30p10m30,yolo26m.pt,2,0,B1,0.5473530482515361,0.867109634551495,0.7827285021531084,0.4159241972823251
p1bfc_yolo26m_640_s2_e30p10m30,yolo26m.pt,2,1,B2,0.4193233408300431,0.4625401844935835,0.3795010050167934,0.19009500431997378
p1bfc_yolo26m_640_s2_e30p10m30,yolo26m.pt,2,2,B3,0.4530509447018013,0.6870252938674447,0.5442048525511773,0.2503797533144056
p1bfc_yolo26m_640_s2_e30p10m30,yolo26m.pt,2,3,B4,0.4312225855710111,0.2851985559566787,0.3333280991807453,0.13160332146659473
p1bfc_yolo11m_640_s1_e30p10m30,yolo11m.pt,1,0,B1,0.6595654310096213,0.8431983292450717,0.8104034796153367,0.4371999910911325
p1bfc_yolo11m_640_s1_e30p10m30,yolo11m.pt,1,1,B2,0.3982428072150707,0.511437908496732,0.41203242766408094,0.20506498911897197
p1bfc_yolo11m_640_s1_e30p10m30,yolo11m.pt,1,2,B3,0.5043977494521945,0.6952236542835482,0.5567705649901512,0.25282080639323856
p1bfc_yolo11m_640_s1_e30p10m30,yolo11m.pt,1,3,B4,0.403033832169908,0.3592057761732852,0.34660574409814493,0.13538036970893327
p1bfc_yolo11m_640_s2_e30p10m30,yolo11m.pt,2,0,B1,0.6633405511585844,0.8106312292358804,0.8120183344396161,0.4314674658526395
p1bfc_yolo11m_640_s2_e30p10m30,yolo11m.pt,2,1,B2,0.4143082545444862,0.4950980392156863,0.40934638969675935,0.2059823341547875
p1bfc_yolo11m_640_s2_e30p10m30,yolo11m.pt,2,2,B3,0.500461346761717,0.6921910538286581,0.5588781202261027,0.253169942011605
p1bfc_yolo11m_640_s2_e30p10m30,yolo11m.pt,2,3,B4,0.3948154563365921,0.37545126353790614,0.3324667845554068,0.1352221709687055
